title,link_to_page,link_to_doc_file
"Food Safety and Quality Act, 2001, S.O. 2001, c. 20",https://www.ontario.ca/laws/statute/01f20,https://www.ontario.ca/laws/docs/01f20_e.doc
"Nutrient Management Act, 2002, S.O. 2002, c. 4",https://www.ontario.ca/laws/statute/02n04,https://www.ontario.ca/laws/docs/02n04_e.doc
"Animal Health Act, 2009, S.O. 2009, c. 31",https://www.ontario.ca/laws/statute/09a31,https://www.ontario.ca/laws/docs/09a31_e.doc
"Liquor Licence and Control Act, 2019, S.O. 2019, c. 15, Sched. 22",https://www.ontario.ca/laws/statute/19l15b,https://www.ontario.ca/laws/docs/19l15b_e.doc
"Commodity Board Members Act, R.S.O. 1990, c. C.18",https://www.ontario.ca/laws/statute/90c18,https://www.ontario.ca/laws/docs/90c18_e.doc
"Education Act, R.S.O. 1990, c. E.2",https://www.ontario.ca/laws/statute/90e02,https://www.ontario.ca/laws/docs/90e02_e.doc
"Farm Products Payments Act, R.S.O. 1990, c. F.10",https://www.ontario.ca/laws/statute/90f10,https://www.ontario.ca/laws/docs/90f10_e.doc
"Health Protection and Promotion Act, R.S.O. 1990, c. H.7",https://www.ontario.ca/laws/statute/90h07,https://www.ontario.ca/laws/docs/90h07_e.doc
"Highway Traffic Act, R.S.O. 1990, c. H.8",https://www.ontario.ca/laws/statute/90h08,https://www.ontario.ca/laws/docs/90h08_e.doc
"Milk Act, R.S.O. 1990, c. M.12",https://www.ontario.ca/laws/statute/90m12,https://www.ontario.ca/laws/docs/90m12_e.doc
"Ministry of Agriculture, Food and Rural Affairs Act, R.S.O. 1990, c. M.16",https://www.ontario.ca/laws/statute/90m16,https://www.ontario.ca/laws/docs/90m16_e.doc
"Retail Sales Tax Act, R.S.O. 1990, c. R.31",https://www.ontario.ca/laws/statute/90r31,https://www.ontario.ca/laws/docs/90r31_e.doc
"Farming and Food Production Protection Act, 1998, S.O. 1998, c. 1",https://www.ontario.ca/laws/statute/98f01,https://www.ontario.ca/laws/docs/98f01_e.doc
"British Home Child Day Act, 2011, S.O. 2011, c. 14 - Bill 185",https://www.ontario.ca/laws/statute/s11014,https://www.ontario.ca/laws/docs/S11014_e.doc
"Commodity Boards and Marketing Agencies Act, R.S.O. 1990, c. C.19",https://www.ontario.ca/laws/statute/90c19,https://www.ontario.ca/laws/docs/elaws_statutes_90c19_e.doc
